Movie,Directed by,Produced by,Screenplay by,Story by,Based on,Starring,Music by,Cinematography,Edited by,Production company,Distributed by,Release date,Running time (in minutes),Country,Language,Budget (in millions of dollars),Box office (in millions of dollars)
Captain America: Civil War,"Anthony Russo, Joe Russo",Kevin Feige,"Christopher Markus, Stephen McFeely",,Captain America,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Paul Rudd, Emily Van, Camp, Tom Holland, Frank Grillo, William Hurt, Daniel Brühl",Henry Jackman,Trent Opaloch,"Jeffrey Ford, Matthew Schmidt",Marvel Studios ,Walt Disney Studios Motion Pictures,4/12/16,147,United States,English,250,"1,153"
,,,,,,,,,,,,,,,,,
Doctor Strange,Scott Derrickson,Kevin Feige,"Jon Spaihts, Scott Derrickson, C. Robert Cargill",,Doctor Strange,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Michael Stuhlbarg, Benjamin Bratt, Scott Adkins, Mads Mikkelsen, Tilda Swinton",Michael Giacchino,Ben Davis,"Wyatt Smith, Sabrina Plisco",Marvel Studios ,Walt Disney Studios Motion Pictures,10/13/16,115,United States,English,236.6,677.7
,,,,,,,,,,,,,,,,,
Guardians of the Galaxy Vol. 2,James Gunn,Kevin Feige,James Gunn,,Guardians of the Galaxy,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper, Michael Rooker, Karen Gillan, Pom Klementieff, Elizabeth Debicki, Chris Sullivan, Sean Gunn, Sylvester Stallone, Kurt Russell",Tyler Bates,Henry Braham,"Fred Raskin, Craig Wood",Marvel Studios ,Walt Disney Studios Motion Pictures,4/10/17,137,United States,English,200,863.8
,,,,,,,,,,,,,,,,,
Spider-Man: Homecoming,Jon Watts,"Kevin Feige, Amy Pascal","Jonathan Goldstein, John Francis Daley, Jon Watts, Christopher Ford, Chris McKenna, Erik Sommers","Jonathan Goldstein, John Francis Daley",Spider-Man,"Tom Holland, Michael Keaton, Jon Favreau, Zendaya, Donald Glover, Tyne Daly, Marisa Tomei, Robert Downey Jr.",Michael Giacchino,Salvatore Totino,"Dan Lebental, Debbie Berman","Columbia Pictures, Marvel Studios, Pascal Pictures",Sony Pictures Releasing,6/28/17,133,United States,English,175,880.2
,,,,,,,,,,,,,,,,,
Thor: Ragnarok,Taika Waititi,Kevin Feige,"Eric Pearson, Craig Kyle, Christopher L. Yost",,Thor,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba, Jeff Goldblum, Tessa Thompson, Karl Urban, Mark Ruffalo, Anthony Hopkins",Mark Mothersbaugh,Javier Aguirresarobe,"Joel Negron, Zene Baker",Marvel Studios ,Walt Disney Studios Motion Pictures,10/10/17,130,United States,English,180,854
,,,,,,,,,,,,,,,,,
Black Panther,Ryan Coogler,Kevin Feige,"Ryan Coogler, Joe Robert Cole",,Black Panther,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis",Ludwig Göransson,Rachel Morrison,"Michael P. Shawver, Debbie Berman",Marvel Studios ,Walt Disney Studios Motion Pictures,1/29/18,134,United States,English,210,"1,347"
,,,,,,,,,,,,,,,,,
Avengers: Infinity War,Anthony Russo Joe Russo,Kevin Feige,"Christopher Markus, Stephen McFeely",,The Avengers,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Don Cheadle, Tom Holland, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Danai Gurira, Letitia Wright, Dave Bautista, Zoe Saldana, Josh Brolin, Chris Pratt",Alan Silvestri,Trent Opaloch,"Jeffrey Ford, Matthew Schmidt",Marvel Studios ,Walt Disney Studios Motion Pictures,4/23/18,149,United States,English,400,"2,049"
,,,,,,,,,,,,,,,,,
Ant-Man and the Wasp,Peyton Reed,"Kevin Feige, Stephen Broussard","Chris McKenna, Erik Sommers, Paul Rudd, Andrew Barrer, Gabriel Ferrari",,Ant-Man,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Bobby Cannavale, Judy Greer, Tip ""T.I."" Harris, David Dastmalchian, Hannah John-Kamen, Abby Ryder Fortson, Randall Park, Michelle Pfeiffer, Laurence Fishburne, Michael Douglas",Christophe Beck,Dante Spinotti,"Dan Lebental, Craig Wood",Marvel Studios ,Walt Disney Studios Motion Pictures,6/25/18,118,United States,English,195,622.7
,,,,,,,,,,,,,,,,,
Captain Marvel,"Anna Boden, Ryan Fleck",Kevin Feige,"Anna Boden, Ryan Fleck, Geneva Robertson-Dworet","Nicole Perlman, Meg LeFauve, Anna Boden, Ryan Fleck, Geneva Robertson-Dworet",Captain Marvel,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Annette Bening, Clark Gregg, Jude Law",Pinar Toprak,Ben Davis,"Elliot Graham, Debbie Berman",Marvel Studios,Walt Disney Studios Motion Pictures,2/27/19,124,United States,English,175,"1,126"
,,,,,,,,,,,,,,,,,
Avengers: Endgame,"Anthony Russo, Joe Russo",Kevin Feige,"Christopher Markus, Stephen McFeely",,The Avengers,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Brie Larson, Karen Gillan, Danai Gurira, Bradley Cooper, Josh Brolin",Alan Silvestri,Trent Opaloch,"Jeffrey Ford, Matthew Schmidt",Marvel Studios,Walt Disney Studios Motion Pictures,4/22/19,181,United States,English,356,"2,617"
